"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1772233851554935270","Tue Mar 26 16:09:39 +0000 2024","0","@worksfess Lawak 2 digit pengen pindah kerja karena bosan","1772657173341815175","","worksfess","in","","0","0","0","https://x.com/Irsyad49226579/status/1772657173341815175","1386978382227730438","Irsyad49226579"
"1772534999750742429","Tue Mar 26 16:07:24 +0000 2024","2","@nawwme eh aku kirain nunggi mutasi di pindah kerja di surabaya","1772656608641679616","","nawwme","in","planet namek","0","1","0","https://x.com/tornadoexpres/status/1772656608641679616","1615090692619120641","tornadoexpres"
"1772174227711361362","Tue Mar 26 15:59:51 +0000 2024","0","@oomciss @R4ZORCANDY @Pai_C1 Ya kalo gk sanggup ya gk usah narik lagi. Atau pindah aja ke tempat kerja yg laen. Untungnya selama ini saya gk pernah nemu driver yg ngeluh2 atau marah2 gitu.","1772654707921563784","","oomciss","in","BALI","0","1","0","https://x.com/rahmat_jul86/status/1772654707921563784","157557159","rahmat_jul86"
"1772513647090397641","Tue Mar 26 15:33:52 +0000 2024","0","@worksfess jadi takut mau pindah kerja","1772648170402537586","","worksfess","in","slow reader ʕ•ᴥ•ʔ — infj-t 🩰","0","0","0","https://x.com/issapages/status/1772648170402537586","1549057890576924672","issapages"
"1772637833091494121","Tue Mar 26 15:30:32 +0000 2024","0","@meinmokhtar Kalau bkn rumah sendiri pindah jela...aih ni azri walter ckp secara tak sedar mentality kena betul jw dr zmn sekolah terpahat sampai alam kerja sampai tak tau buat keputusan","1772647328702238840","","meinmokhtar","in","KUL, LHR","0","0","0","https://x.com/MSallehuddin05/status/1772647328702238840","323081825","MSallehuddin05"
"1772596122717954386","Tue Mar 26 15:19:22 +0000 2024","1","@mx00711 Hahaha... Sepertinya yang 48 itu ikut mati ya. Ngeri lho itu longsornya dan dibawah tentu manusia banyak. Aku pernah kerja di Kaltim kedalamnya ngeri dan mirip seperti di video tapi mampu bertahan 4th terus pindah ke Bali heee","1772644521848836325","","mx00711","in","","0","0","0","https://x.com/yehezkielsugi78/status/1772644521848836325","1703397257498992640","yehezkielsugi78"
"1772634814320926783","Tue Mar 26 15:03:52 +0000 2024","2","@worksfess Kenalan temanku pernah kerja di BUMN tapi pindah ke startup yang gajinya lebih besar lingkungan kerja enak daripada sebelumnya. Kalau kamu sudah punya tempat kerja baru yang bagus ya gpp pindah.","1772640620261130715","","worksfess","in","","0","0","0","https://x.com/Reina_Takaba/status/1772640620261130715","123618587","Reina_Takaba"
"1772258150755840293","Tue Mar 26 15:01:58 +0000 2024","0","@WatchmenID cewe miskin awalnya kerja di toko roti terus pindah kerja jd merawat org lumpuh super kaya tapi pengen mati si cewe ngasih cara supaya cowonya mau tetep idup sampe mereka jatuh cinta tp yagitulah","1772640139648422295","","WatchmenID","in","🇵🇸","0","1","0","https://x.com/marshucan/status/1772640139648422295","765018976858443777","marshucan"
"1772637833091494121","Tue Mar 26 14:52:48 +0000 2024","14","Pindah laa kl. Bukan weekend takleh balik dengkil duk pangkuan ketiak. If rasa mcm tak berbaloi cuba pikir kena kerja berapa tahun dekat company sekarang nak dpt mcm gaji sekarang? https://t.co/C5ebd2I5CN","1772637833091494121","https://pbs.twimg.com/media/GJmssqEbQAAJ3-r.jpg","","in","","0","11","1","https://x.com/meinmokhtar/status/1772637833091494121","468432710","meinmokhtar"
"1772637739160158300","Tue Mar 26 14:52:25 +0000 2024","0","Kenapa tak mintak pindah? Dah mintak tapi still pending. Sebab takde valid reason. Siapa nak kerja kat situ? Orang gila je nak. Tapi betul yang kerja kat situ mostly ada mental health problem sikit lagi aku yang kena","1772637739160158300","","","in","Me","0","0","0","https://x.com/nfarhanhassan_/status/1772637739160158300","2268556669","nfarhanhassan_"
"1772633099269972414","Tue Mar 26 14:51:20 +0000 2024","1","@ipb_menfess Ribet nder pindah mah lapangan kerja banyak mending lu kembangin skill di luar ptn. Dan yg di PTN jalani aja dengan ikhlas nder biar ga buang2 waktu untuk mendapatkan gelar wkwk","1772637467071463506","","ipb_menfess","in","bogor - bandung","0","0","0","https://x.com/d1k4ja/status/1772637467071463506","1228968081239597057","d1k4ja"
"1772636746292859307","Tue Mar 26 14:48:28 +0000 2024","0","Bener banget jujur gue bener-bener capek sama perusahaan tempat kerja sekarang tapi kalau mau pindah gaada pegangan dan belum lagi kesusahan nyari waktu buat ikut interview atau psikotes https://t.co/qWL9qiVBH4","1772636746292859307","https://pbs.twimg.com/media/GJmrtqFbwAAlC1g.jpg","","in","","0","1","0","https://x.com/sylsvlsylsvl/status/1772636746292859307","65568087","sylsvlsylsvl"
"1772636554730611018","Tue Mar 26 14:47:43 +0000 2024","0","Sampai satu tahap fikir nak buat kerja gila pastu biar viral pastu dapat pindah. Tapi fikir balik nanti file kau tak cantik.","1772636554730611018","","","in","Me","0","0","0","https://x.com/nfarhanhassan_/status/1772636554730611018","2268556669","nfarhanhassan_"
"1772618070210527679","Tue Mar 26 14:46:37 +0000 2024","0","Masa merantau cari kerja dekat KL parents yg hantar. Kali ini pindah sendiri dah besar dah kita . Kuat nya ..","1772636278296609153","","nadiamasturi","in","Sentul, KL","0","1","0","https://x.com/nadiamasturi/status/1772636278296609153","939696980","nadiamasturi"
"1772634814320926783","Tue Mar 26 14:40:48 +0000 2024","2427","Work! Aku sehari hari pulang malem terus kerja di BUMN tapi ngerasa gini gini aja dan kadang ngerasa ga enjoy sebenernya benefit udah cukup banget sempet kepikiran apa pindah swasta ya tapi takut menyesal lepas BUMN kalau kalian sendiri lebih pilih BUMN apa swasta (cont..)","1772634814320926783","","","in","","129","299","137","https://x.com/worksfess/status/1772634814320926783","1244597361826885636","worksfess"
"1772615927785304269","Tue Mar 26 14:37:34 +0000 2024","0","Berarti sudah pindah tempat duduk yg ke 3 nih baru 2 bulan kerja padahal.. gak nyaman sekali ","1772634001875857872","","nuresch","in","Jakarta Pusat, DKI Jakarta","0","2","0","https://x.com/nuresch/status/1772634001875857872","499588341","nuresch"
"1773096927199977938","Wed Mar 27 21:17:04 +0000 2024","0","Susah sebab nak duduk dekat jarak dengan family sejam je. Kalau tak pindah travel takes 1hr 30mins pergi balik. Balik dah barai. The only way untuk siapkan kerja is stay there sampai 6pm-7pm or force stay up. And yes i do see myself sangat tak productive sekarang ","1773096927199977938","","","in","Malaysia","0","0","0","https://x.com/oohrija/status/1773096927199977938","519614389","oohrija"
"1773094343332536764","Wed Mar 27 21:06:48 +0000 2024","0","aku kira gabakal ngeluh soal kerjaan lagi setelah pindah kesini ternyata..... 3 bulan pertama sangat sangat menyenangkan entah itu pekerjaannya orangnya bosnya suasananya. Wahhhh masuk bulan ke4 aslinya keluar semuaa gilakk dunia kerja sekejam ini???","1773094343332536764","","","in","Boyolali, Indonesia","0","1","0","https://x.com/jehyunieeee/status/1773094343332536764","1059300887120625665","jehyunieeee"
"1772967240905658782","Wed Mar 27 21:05:02 +0000 2024","0","@redpetals_ Org aku dah lama g telpon mama papaku ya dan ini tu ttg aku pindah kerja tiba2 cila nelpon cerita ttg teraweh. Dan sudah bisa d tebak mama papaku memilih cila.","1773093897477963986","","redpetals_","in","Hokkaidō, Japan","0","1","0","https://x.com/Gizelaaaa/status/1773093897477963986","521225707","Gizelaaaa"
"1773010233880658138","Wed Mar 27 20:51:47 +0000 2024","0","@worksfess Dulu gue gini tapi semenjak pindah ke radiator spring terus dapet kerja pengennya tidur aja. Kek gak cuman fisiknya cape tapi pikirannya ikutan juga ","1773090562200965145","","worksfess","in","CA/FA ","0","0","0","https://x.com/gleamingud/status/1773090562200965145","872017387914178561","gleamingud"
